
Using cache found in /home/daniel/.cache/torch/hub/pytorch_vision_v0.10.0
['features', 'avgpool', 'classifier']
******** Training ********
tensor(1.5128, grad_fn=<NllLossBackward0>)
tensor(0.2334, grad_fn=<NllLossBackward0>)
tensor(0.5848, grad_fn=<NllLossBackward0>)
tensor(0.2221, grad_fn=<NllLossBackward0>)
tensor(0.0405, grad_fn=<NllLossBackward0>)
tensor(0.1852, grad_fn=<NllLossBackward0>)
tensor(0.3516, grad_fn=<NllLossBackward0>)
tensor(0.2065, grad_fn=<NllLossBackward0>)
tensor(0.0608, grad_fn=<NllLossBackward0>)
tensor(0.2452, grad_fn=<NllLossBackward0>)
tensor(0.0190, grad_fn=<NllLossBackward0>)
tensor(1.7144, grad_fn=<NllLossBackward0>)
tensor(1.6638, grad_fn=<NllLossBackward0>)
tensor(0.0063, grad_fn=<NllLossBackward0>)
tensor(0.3989, grad_fn=<NllLossBackward0>)
tensor(0.0114, grad_fn=<NllLossBackward0>)
tensor(0.0035, grad_fn=<NllLossBackward0>)
tensor(2.8536, grad_fn=<NllLossBackward0>)
tensor(0.0363, grad_fn=<NllLossBackward0>)
tensor(0.0042, grad_fn=<NllLossBackward0>)
tensor(0.2576, grad_fn=<NllLossBackward0>)
tensor(1.7753, grad_fn=<NllLossBackward0>)
tensor(1.8943, grad_fn=<NllLossBackward0>)
tensor(0.1155, grad_fn=<NllLossBackward0>)
tensor(0.1493, grad_fn=<NllLossBackward0>)
tensor(0.2563, grad_fn=<NllLossBackward0>)
tensor(0.0768, grad_fn=<NllLossBackward0>)
tensor(1.4341, grad_fn=<NllLossBackward0>)
tensor(0.4698, grad_fn=<NllLossBackward0>)
tensor(0.3643, grad_fn=<NllLossBackward0>)
tensor(1.6538, grad_fn=<NllLossBackward0>)
tensor(0.0169, grad_fn=<NllLossBackward0>)
tensor(0.4987, grad_fn=<NllLossBackward0>)
tensor(0.1911, grad_fn=<NllLossBackward0>)
tensor(0.0251, grad_fn=<NllLossBackward0>)
tensor(2.2524, grad_fn=<NllLossBackward0>)
tensor(0.1732, grad_fn=<NllLossBackward0>)
tensor(0.3179, grad_fn=<NllLossBackward0>)
tensor(0.4487, grad_fn=<NllLossBackward0>)
